id,issuedDate,distributorid,status,validFrom,validThrough,type,planesValue,horizontalSize,verticalSize,area,CATUTTC,district
66787-18,2025-08-07,38615606,Чинний,2026-02-05,2031-02-04,Спеціальна рекламна конструкція на фасаді будинку (будівлі),1.0,4.0,1.0,4.0,UA80000000000551439,Оболонський
66788-18,2025-08-07,38615606,Чинний,2026-02-05,2031-02-04,Спеціальна рекламна конструкція на фасаді будинку (будівлі),1.0,4.0,1.0,4.0,UA80000000000551439,Оболонський
66826-18,2018-07-11,14298457,Чинний,2018-07-11,2026-02-04,Спеціальна рекламна конструкція на фасаді будинку (будівлі),1.0,0.85,1.0,0.85,UA80000000000875983,Святошинський
66737-18,2024-03-28,36003603,Чинний,2024-08-14,2029-08-13,Спеціальна рекламна конструкція на фасаді будинку (будівлі),1.0,7.1,2.0,14.2,UA80000000000210193,Дарницький
66451-18,2018-07-26,35677565,Чинний,2018-07-26,2026-02-04,Спеціальна рекламна конструкція на фасаді будинку (будівлі),1.0,1.55,0.7,1.085,UA80000000001078669,Шевченківський
66475-18,2018-05-22,19492477,Чинний,2018-05-22,2026-02-04,Спеціальна рекламна конструкція на фасаді будинку (будівлі),1.0,2.5,0.53,1.325,UA80000000001078669,Шевченківський
66671-18,2018-08-03,41900286,Чинний,2018-08-03,2026-02-04,Спеціальна рекламна конструкція на фасаді будинку (будівлі),1.0,1.5,0.9,1.35,UA80000000001078669,Шевченківський
66412-18,2018-05-14,14282829,Чинний,2018-05-14,2026-02-04,Спеціальна рекламна конструкція на фасаді будинку (будівлі),1.0,2.435,0.84,2.0454,UA80000000000551439,Оболонський
65371-17,2018-02-26,32294897,Чинний,2018-02-26,2026-02-04,Спеціальна рекламна конструкція на фасаді будинку (будівлі),1.0,2.2,0.85,1.87,UA80000000000875983,Святошинський
64889-17,2018-02-26,32294897,Чинний,2018-02-26,2026-02-04,Спеціальна рекламна конструкція на фасаді будинку (будівлі),1.0,2.2,0.85,1.87,UA80000000000875983,Святошинський
65218-17,2018-02-26,32294897,Чинний,2018-02-26,2026-02-04,Спеціальна рекламна конструкція на фасаді будинку (будівлі),1.0,2.2,0.85,1.87,UA80000000001078669,Шевченківський
66478-18,2018-05-14,32587055,Чинний,2018-05-14,2026-02-04,Спеціальна рекламна конструкція на фасаді будинку (будівлі),1.0,5.4,0.55,2.97,UA80000000000980793,Солом'янський
66449-18,2018-06-21,32587055,Чинний,2018-06-21,2026-02-04,"Спеціальна рекламна конструкція, що розміщується під кутом до фасаду будинку (будівлі)",2.0,0.7,0.7,0.98,UA80000000000980793,Солом'янський
66455-18,2018-09-25,30214545,Чинний,2018-09-25,2026-02-04,Спеціальна рекламна конструкція на фасаді будинку (будівлі),1.0,3.0,0.3,0.9,UA80000000000624772,Печерський
66456-18,2018-09-25,30214545,Чинний,2018-09-25,2026-02-04,Спеціальна рекламна конструкція на фасаді будинку (будівлі),1.0,2.5,0.38,0.95,UA80000000000624772,Печерський
